n,gamma,gamma_dps,source
1,14.134725141734693790457251983562470270784257115699,50,mpmath.zetazero (mpmath python)
2,21.022039638771554992628479593896902777334340524903,50,mpmath.zetazero (mpmath python)
3,25.010857580145688763213790992562821818659549672558,50,mpmath.zetazero (mpmath python)
4,30.424876125859513210311897530584091320181560023715,50,mpmath.zetazero (mpmath python)
5,32.935061587739189690662368964074903488812715603517,50,mpmath.zetazero (mpmath python)
6,37.586178158825671257217763480705332821405597350831,50,mpmath.zetazero (mpmath python)
7,40.918719012147495187398126914633254395726165962777,50,mpmath.zetazero (mpmath python)
8,43.327073280914999519496122165406805782645668371837,50,mpmath.zetazero (mpmath python)
9,48.005150881167159727942472749427516041686844001144,50,mpmath.zetazero (mpmath python)
10,49.773832477672302181916784678563724057723178299677,50,mpmath.zetazero (mpmath python)
11,52.970321477714460644147296608880990063825017888821,50,mpmath.zetazero (mpmath python)
12,56.446247697063394804367759476706127552782264471717,50,mpmath.zetazero (mpmath python)
13,59.347044002602353079653648674992219031098772806467,50,mpmath.zetazero (mpmath python)
14,60.831778524609809844259901824524003802910090451219,50,mpmath.zetazero (mpmath python)
15,65.112544048081606660875054253183705029348149295167,50,mpmath.zetazero (mpmath python)
16,67.079810529494173714478828896522216770107144951746,50,mpmath.zetazero (mpmath python)
17,69.546401711173979252926857526554738443012474209602,50,mpmath.zetazero (mpmath python)
18,72.067157674481907582522107969826168390480906621457,50,mpmath.zetazero (mpmath python)
19,75.704690699083933168326916762030345922811903530697,50,mpmath.zetazero (mpmath python)
20,77.144840068874805372682664856304637015796032449235,50,mpmath.zetazero (mpmath python)
21,79.337375020249367922763592877116228190613246743120,50,mpmath.zetazero (mpmath python)
22,82.910380854086030183164837494770609497508880593782,50,mpmath.zetazero (mpmath python)
23,84.735492980517050105735311206827741417106627934241,50,mpmath.zetazero (mpmath python)
24,87.425274613125229406531667850919213252171886401269,50,mpmath.zetazero (mpmath python)
25,88.809111207634465423682348079509378395444893409819,50,mpmath.zetazero (mpmath python)
26,92.491899270558484296259725241810684878721794027731,50,mpmath.zetazero (mpmath python)
27,94.651344040519886966597925815208153937728027015655,50,mpmath.zetazero (mpmath python)
28,95.870634228245309758741029219246781695256461224988,50,mpmath.zetazero (mpmath python)
29,98.831194218193692233324420138622327820658039063428,50,mpmath.zetazero (mpmath python)
30,101.31785100573139122878544794029230890633286638430,50,mpmath.zetazero (mpmath python)
31,103.72553804047833941639840810869528083448117306950,50,mpmath.zetazero (mpmath python)
32,105.44662305232609449367083241411180899728275392854,50,mpmath.zetazero (mpmath python)
33,107.16861118427640751512335196308619121347670788140,50,mpmath.zetazero (mpmath python)
34,111.02953554316967452465645030994435041534596839007,50,mpmath.zetazero (mpmath python)
35,111.87465917699263708561207871677059496031174987339,50,mpmath.zetazero (mpmath python)
36,114.32022091545271276589093727619107980991765772383,50,mpmath.zetazero (mpmath python)
37,116.22668032085755438216080431206475512732985123238,50,mpmath.zetazero (mpmath python)
38,118.79078286597621732297913970269982434730621059281,50,mpmath.zetazero (mpmath python)
39,121.37012500242064591894553297049992272300131063173,50,mpmath.zetazero (mpmath python)
40,122.94682929355258820081746033077001649621438987386,50,mpmath.zetazero (mpmath python)
41,124.25681855434576718473200796612992444157353877469,50,mpmath.zetazero (mpmath python)
42,127.51668387959649512427932376690607626808830988155,50,mpmath.zetazero (mpmath python)
43,129.57870419995605098576803390617997360864095326466,50,mpmath.zetazero (mpmath python)
44,131.08768853093265672356637246150134905920354750298,50,mpmath.zetazero (mpmath python)
45,133.49773720299758645013049204264060766497417494390,50,mpmath.zetazero (mpmath python)
46,134.75650975337387133132606415716973617839606861365,50,mpmath.zetazero (mpmath python)
47,138.11604205453344320019155519028244785983527462415,50,mpmath.zetazero (mpmath python)
48,139.73620895212138895045004652338246084679005256538,50,mpmath.zetazero (mpmath python)
49,141.12370740402112376194035381847535509030066087975,50,mpmath.zetazero (mpmath python)
50,143.11184580762063273940512386891392996623310243035,50,mpmath.zetazero (mpmath python)
51,146.00098248676551854740250759642468242897574123310,50,mpmath.zetazero (mpmath python)
52,147.42276534255960204952118501043150616877277525048,50,mpmath.zetazero (mpmath python)
53,150.05352042078488035143246723695937062303732155953,50,mpmath.zetazero (mpmath python)
54,150.92525761224146676185252467830562760242677047300,50,mpmath.zetazero (mpmath python)
55,153.02469381119889619825654425518544650859043490415,50,mpmath.zetazero (mpmath python)
56,156.11290929423786756975018931016919474653530850094,50,mpmath.zetazero (mpmath python)
57,157.59759181759405988753050315849876573072389951914,50,mpmath.zetazero (mpmath python)
58,158.84998817142049872417499477554027141433508304943,50,mpmath.zetazero (mpmath python)
59,161.18896413759602751943734412936955436491579032748,50,mpmath.zetazero (mpmath python)
60,163.03070968718198724331103900068799489696446141648,50,mpmath.zetazero (mpmath python)
61,165.53706918790041883003891935487479732836725174507,50,mpmath.zetazero (mpmath python)
62,167.18443997817451344095775624621037873646076924262,50,mpmath.zetazero (mpmath python)
63,169.09451541556882148950587118143183479666764858044,50,mpmath.zetazero (mpmath python)
64,169.91197647941169896669984359582179228839443712534,50,mpmath.zetazero (mpmath python)
65,173.41153651959155295984611864934559525415606606342,50,mpmath.zetazero (mpmath python)
66,174.75419152336572581337876245586691793875571762057,50,mpmath.zetazero (mpmath python)
67,176.44143429771041888889264105786093352811849710881,50,mpmath.zetazero (mpmath python)
68,178.37740777609997728583093541418442618313236146127,50,mpmath.zetazero (mpmath python)
69,179.91648402025699613934003661205123745368760755302,50,mpmath.zetazero (mpmath python)
70,182.20707848436646191540703722698779869079745777824,50,mpmath.zetazero (mpmath python)
71,184.87446784838750880096064661723425841335102291195,50,mpmath.zetazero (mpmath python)
72,185.59878367770747146652770426839264661293471764951,50,mpmath.zetazero (mpmath python)
73,187.22892258350185199164154058613124301681073460399,50,mpmath.zetazero (mpmath python)
74,189.41615865601693708485228909984532449135710302319,50,mpmath.zetazero (mpmath python)
75,192.02665636071378654728363142558343010583992029798,50,mpmath.zetazero (mpmath python)
76,193.07972660384570404740220579437605460402061581055,50,mpmath.zetazero (mpmath python)
77,195.26539667952923532146318781486225092690505245229,50,mpmath.zetazero (mpmath python)
78,196.87648184095831694862226391469620773574602869194,50,mpmath.zetazero (mpmath python)
79,198.01530967625191242491991870220886715506269543857,50,mpmath.zetazero (mpmath python)
80,201.26475194370378873301613342754817322240286363919,50,mpmath.zetazero (mpmath python)
81,202.49359451414053427768666063786431582102024489942,50,mpmath.zetazero (mpmath python)
82,204.18967180310455433071643838631368513653452922874,50,mpmath.zetazero (mpmath python)
83,205.39469720216328602521237939069309092372291477205,50,mpmath.zetazero (mpmath python)
84,207.90625888780620986150196790775364426865940376888,50,mpmath.zetazero (mpmath python)
85,209.57650971685625985283564428988675217539078318133,50,mpmath.zetazero (mpmath python)
86,211.69086259536530756390748673071929425339403098294,50,mpmath.zetazero (mpmath python)
87,213.34791935971266619063912202107260882189718327663,50,mpmath.zetazero (mpmath python)
