n,gamma,a1_re,a1_im
1,8.039737155681,1.24592736e-01,7.95288130e-01
2,11.249206207773,2.00912091e-01,1.06775236e+00
3,15.704619176722,-1.95174505e-01,1.29427215e+00
4,18.261997495693,-7.07645546e-02,1.11078202e+00
5,20.455770807742,5.20928988e-01,1.42080798e+00
6,24.059414856493,-3.07248981e-01,1.56541174e+00
7,26.577868735775,-3.38308938e-01,1.53165512e+00
8,28.218164506233,5.04495104e-01,1.64959601e+00
9,30.745040261382,4.02044219e-01,1.72869119e+00
10,33.897388927259,-8.92094892e-01,1.89902303e+00
11,35.608412653939,3.56780180e-01,1.86560783e+00
12,37.551796556365,-2.47391891e-02,2.04591827e+00
13,39.485207260929,9.00355982e-01,1.96223634e+00
14,42.616379226158,-1.36013216e+00,2.13612146e+00
15,44.120572912072,7.68185209e-01,2.24233422e+00
16,46.274118023513,-1.16378634e+00,2.35480267e+00
17,47.514104510117,1.91597740e+00,2.26765048e+00
18,50.375138650636,-5.19390089e-01,2.25058308e+00
19,52.496749599061,-5.67282739e-01,2.59735237e+00
20,54.193843101552,-2.71401603e-01,2.51840636e+00
21,55.642558700216,7.21557948e-01,2.73172421e+00
22,57.584056360449,7.93875616e-01,2.50767800e+00
23,60.026857456716,-5.17311886e-01,2.50996763e+00
24,62.206078122282,-2.13530629e+00,3.15517982e+00
25,63.176992767339,2.04477194e+00,2.61695067e+00
26,65.294925544084,-9.45313740e-01,3.24282268e+00
27,66.623134625533,2.15080951e+00,2.58265116e+00
28,69.513022985980,-2.24806548e+00,2.64450366e+00
29,70.819798695547,8.99478583e-01,3.57125846e+00
30,72.656149070697,-7.77161346e-01,2.81034753e+00
31,74.005428521004,6.44245746e-01,3.75049154e+00
32,75.622406964031,1.63166181e+00,2.76580178e+00
33,78.217481270927,-1.84675362e+00,2.97335263e+00
34,79.637975751908,5.97394995e-01,3.63014246e+00
35,81.611987609471,-2.61771404e+00,3.32014688e+00
36,82.470252512222,2.77487389e+00,3.79295049e+00
37,84.412286638293,6.55229223e-01,3.33664620e+00
38,86.327646283014,3.26311129e-01,3.13909276e+00
39,88.652617208539,-3.35767056e+00,3.42100368e+00
40,89.646402756842,2.02139455e+00,4.22157497e+00
41,91.335610354433,-4.41235263e-01,3.47904178e+00
42,92.753464387119,9.24757820e-01,4.22760858e+00
43,94.394358797163,1.53182267e+00,3.16684866e+00
44,96.874252089785,-2.86600264e+00,3.22194694e+00
45,98.126454904242,4.44044721e-01,4.95408253e+00
46,99.533489264059,7.62883541e-01,3.29381165e+00
47,101.374963467900,-3.92636781e+00,5.47228411e+00
48,102.116361845065,5.91652934e+00,2.92013988e+00
49,104.765375470165,-1.80320030e+00,3.38331264e+00
50,106.246061848876,-1.25250530e-01,4.49448656e+00
51,107.970316117138,-1.42853148e+00,4.13668107e+00
52,109.137603914492,5.12374581e-01,4.60285467e+00
53,110.523351036813,1.29709105e+00,4.51328639e+00
54,112.154771842200,1.34714980e+00,3.79731385e+00
55,114.217148271564,-1.06100698e+00,3.82623006e+00
56,115.898142441843,-1.38511537e+00,4.49922240e+00
57,117.369750996605,-1.66094476e+00,5.29798878e+00
58,118.299418307898,2.92865347e+00,4.01054692e+00
59,120.255182238494,-1.94849393e+00,5.45524170e+00
60,121.278841596507,4.07998225e+00,3.51801787e+00
61,123.890490659810,-3.96657615e+00,3.36890956e+00
62,125.010783500604,5.73634335e-01,6.29559055e+00
63,126.397312255835,8.93248039e-01,4.08851820e+00
64,128.052677184236,-3.29235179e+00,5.40942627e+00
65,128.937236928624,4.61449561e+00,5.02074765e+00
66,130.811369910239,1.01138302e+00,3.81020353e+00
67,133.032449649301,-4.54922285e+00,4.23174760e+00
68,133.990862643415,2.61188165e+00,5.85655164e+00
69,135.820891223150,-2.65490976e+00,4.32625342e+00
70,136.826373271550,1.05829440e+00,6.44598463e+00
71,138.095359556469,2.94559377e+00,4.56931668e+00
72,139.998280075505,-8.54190837e-02,4.50232203e+00
73,141.647847111849,-2.67076307e-01,4.57550033e+00
74,143.638477145127,-7.50536812e+00,5.16612440e+00
75,144.251663982588,6.15661964e+00,6.17788006e+00
76,145.919629567447,-7.15004515e-01,4.92292113e+00
77,147.224230281957,9.94346085e-01,6.18471222e+00
78,148.603136989264,2.61111667e+00,4.34391397e+00
79,150.716489569813,-2.08843664e+00,4.23157699e+00
80,152.318529151590,-4.33169885e+00,6.53939629e+00
81,153.190716494260,3.91530022e+00,5.61997411e+00
82,154.815216151925,-1.31054188e+00,4.84902080e+00
83,156.136480891007,-6.54069675e-01,7.88479571e+00
