n,gamma,K,sigma_K,gamma_K,status
0,8.039737155681,192,0.500632762,8.043871779,ok
0,8.039737155681,136,0.500884183,8.045570405,ok
0,8.039737155681,96,0.501234492,8.047993809,ok
0,8.039737155681,68,0.501708046,8.051381504,ok
0,8.039737155681,48,0.502352179,8.056214422,ok
0,8.039737155681,34,0.503194783,8.062977354,ok
0,8.039737155681,24,0.504292198,8.072660755,ok
0,8.039737155681,16,0.505928216,8.089299715,ok
0,8.039737155681,11,0.507889936,8.112694482,ok
0,8.039737155681,8,0.510365881,8.142507932,ok
0,8.039737155681,6,0.514931390,8.182477592,ok
0,8.039737155681,4,0.537830142,8.275189814,ok
0,8.039737155681,3,0.593643764,8.377882446,ok
0,8.039737155681,2,0.834106751,8.529129034,ok
1,11.249206207773,192,0.501022660,11.254765710,ok
1,11.249206207773,136,0.501430789,11.257054654,ok
1,11.249206207773,96,0.502001894,11.260325365,ok
1,11.249206207773,68,0.502779938,11.264907850,ok
1,11.249206207773,48,0.503853806,11.271466925,ok
1,11.249206207773,34,0.505299112,11.280690542,ok
1,11.249206207773,24,0.507293548,11.293996502,ok
1,11.249206207773,16,0.510708259,11.317164122,ok
2,15.704619176722,192,0.498944525,15.711335561,ok
2,15.704619176722,136,0.498487096,15.714089208,ok
2,15.704619176722,96,0.497810188,15.718014310,ok
2,15.704619176722,68,0.496815402,15.723498361,ok
2,15.704619176722,48,0.495296170,15.731327725,ok
2,15.704619176722,34,0.492966122,15.742328630,ok
2,15.704619176722,24,0.489195797,15.758276869,ok
2,15.704619176722,16,0.481472474,15.786765180,ok
3,18.261997495693,192,0.499584467,18.267771161,ok
3,18.261997495693,136,0.499387013,18.270145914,ok
3,18.261997495693,96,0.499079479,18.273541688,ok
3,18.261997495693,68,0.498600469,18.278313066,ok
3,18.261997495693,48,0.497822736,18.285196192,ok
3,18.261997495693,34,0.496560948,18.295058438,ok
3,18.261997495693,24,0.494447009,18.309905759,ok
3,18.261997495693,16,0.490358353,18.338774184,ok
4,20.455770807742,192,0.502657586,20.463194807,ok
4,20.455770807742,136,0.503722973,20.466268982,ok
4,20.455770807742,96,0.505220466,20.470683001,ok
4,20.455770807742,68,0.507277014,20.476916081,ok
4,20.455770807742,48,0.510158646,20.485957041,ok
4,20.455770807742,34,0.514154176,20.498971132,ok
4,20.455770807742,24,0.520032083,20.518573022,ok
4,20.455770807742,16,0.532113129,20.556086314,ok
5,24.059414856493,192,0.498331712,24.067532405,ok
5,24.059414856493,136,0.497604157,24.070860363,ok
5,24.059414856493,96,0.496521877,24.075608621,ok
