idx,lam,sigma,gamma
0,1.0,0.338225885,8.263532249
0,0.7,0.325524417,8.253978077
0,0.5,0.294279505,8.326401912
0,0.35,0.265477065,8.435797368
0,0.25,0.252172531,8.543073700
0,0.18,0.253063542,8.636610268
0,0.12,0.266332210,8.727138396
0,0.08,0.283735482,8.790367424
0,0.05,0.301619947,8.837747711
0,0.03,0.315724756,8.868751867
0,0.02,0.323374631,8.883975897
0,0.012,0.329758073,8.895994509
0,0.0,0.339737508,8.913724351
1,1.0,0.038006062,11.235751321
1,0.7,0.076378731,11.184609523
1,0.5,-0.078515390,11.174641818
1,0.35,-0.341138790,11.186588230
1,0.25,-0.641206675,11.214018884
1,0.18,-0.960869963,11.258688651
1,0.12,-1.368379282,11.342315929
1,0.08,-1.771421774,11.456460882
1,0.05,-2.220155648,11.620442915
1,0.03,-2.681350887,11.828988026
1,0.02,-3.029109384,12.012995427
1,0.012,-3.448172683,12.265326950
1,0.0,nan,nan
2,1.0,0.083906329,15.678159889
2,0.7,0.238619586,15.714891045
2,0.5,0.155157326,15.704609222
2,0.35,-0.035621991,15.686230004
2,0.25,-0.240685912,15.665577153
2,0.18,-0.439082766,15.647923300
2,0.12,-0.673790329,15.634479216
2,0.08,-0.898626643,15.630324425
2,0.05,-1.150494965,15.633102464
2,0.03,-1.415880177,15.638949664
2,0.02,-1.620184319,15.641357419
2,0.012,-1.867506852,15.636764960
2,0.0,-2.869251651,15.211026295
3,1.0,0.521021273,18.194012202
3,0.7,0.326035588,18.357414834
3,0.5,0.282233538,18.404792605
3,0.35,0.286690041,18.374581256
3,0.25,0.280366250,18.350639546
3,0.18,0.254336600,18.348503811
3,0.12,0.203130545,18.367895922
3,0.08,0.144019678,18.401261851
3,0.05,0.079745694,18.447406350
3,0.03,0.025025115,18.497499229
3,0.02,-0.005424060,18.532335754
3,0.012,-0.030159755,18.566867725
3,0.0,-0.063780068,18.632463234
4,1.0,0.139999183,20.599810888
4,0.7,0.203433609,20.316282472
4,0.5,0.105105152,20.264641526
4,0.35,-0.053883171,20.330216972
4,0.25,-0.222430673,20.393291884
4,0.18,-0.397565299,20.425040436
4,0.12,-0.624914411,20.425490049
4,0.08,-0.863702214,20.396475947
4,0.05,-1.155909167,20.343135041
4,0.03,-1.493470990,20.278079934
4,0.02,-1.775131671,20.230027595
4,0.012,-2.143367106,20.180485673
4,0.0,nan,nan
5,1.0,0.143725996,23.952135235
5,0.7,0.389797012,24.108054041
5,0.5,0.337922412,24.125138467
5,0.35,0.097496584,24.109247730
5,0.25,-0.162571534,24.081201579
5,0.18,-0.399877764,24.059235251
5,0.12,-0.667157615,24.050493292
5,0.08,-0.917640547,24.059554580
5,0.05,-1.198979949,24.084241743
5,0.03,-1.501963866,24.120608989
5,0.02,-1.743289263,24.153270309
5,0.012,-2.049992633,24.197040210
5,0.0,nan,nan
6,1.0,0.436172444,26.623355277
6,0.7,0.005092684,26.702897968
6,0.5,-0.136872794,26.728106610
6,0.35,0.018925110,26.722446381
6,0.25,0.169449958,26.677641013
6,0.18,0.231993524,26.644952710
6,0.12,0.240706916,26.634817371
6,0.08,0.219955952,26.645168254
6,0.05,0.189456319,26.668907157
6,0.03,0.162966592,26.697685046
6,0.02,0.148935362,26.717814220
6,0.012,0.138168410,26.737364686
6,0.0,0.124803484,26.773027790
7,1.0,0.339999685,28.177140393
7,0.7,0.604796136,28.003107088
7,0.5,0.628175596,27.941044741
7,0.35,0.379183058,27.964318034
7,0.25,0.123795984,28.044573271
7,0.18,-0.071286775,28.107602295
7,0.12,-0.276064994,28.142237045
7,0.08,-0.473325008,28.146809742
7,0.05,-0.709436120,28.135860247
7,0.03,-0.979422411,28.121296323
7,0.02,-1.201680338,28.114964686
7,0.012,-1.487437143,28.117547723
7,0.0,nan,nan
10,1.0,0.184898716,30.880646309
10,0.7,0.167442885,30.902777137
10,0.5,0.068248197,30.980784351
10,0.35,-0.020639703,30.956891221
10,0.25,-0.124592930,30.925964593
10,0.18,-0.246522067,30.914604002
10,0.12,-0.411011253,30.916432406
10,0.08,-0.579130860,30.923515524
10,0.05,-0.771857290,30.931469938
10,0.03,-0.976937018,30.938308722
10,0.02,-1.136594611,30.942867215
10,0.012,-1.333990648,30.948366517
10,0.0,-2.981173927,31.108702393
8,1.0,0.201600651,33.645414006
8,0.7,0.405089317,33.627754078
8,0.5,0.360220210,33.508131643
8,0.35,0.183279656,33.541161084
8,0.25,-0.012027050,33.581229838
8,0.18,-0.195155060,33.588991244
8,0.12,-0.401250110,33.575465267
8,0.08,-0.592337678,33.557658576
8,0.05,-0.805311274,33.541204041
8,0.03,-1.033507404,33.528589773
8,0.02,-1.214634122,33.520645240
8,0.012,-1.444264490,33.511018522
8,0.0,nan,nan
9,1.0,0.500521706,35.905349950
9,0.7,0.446429308,36.397429427
9,0.5,0.802831755,36.501052994
9,0.35,0.582846447,36.446493586
9,0.25,0.321898699,36.253469463
9,0.18,0.238291039,36.142288462
9,0.12,0.165331829,36.143664998
9,0.08,0.101523429,36.223535204
9,0.05,0.085351303,36.374293183
9,0.03,0.157463697,36.475036081
9,0.02,0.199977670,36.503145137
9,0.012,0.231519549,36.519406973
9,0.0,0.274411988,36.537755726
