n,gamma,gamma_dps,source
1,8.039737155681,12,Hardy Z_3 sign walk + Anderson polish (chi6_two_component.py)
2,11.249206207773,12,Hardy Z_3 sign walk + Anderson polish (chi6_two_component.py)
3,15.704619176722,12,Hardy Z_3 sign walk + Anderson polish (chi6_two_component.py)
4,18.261997495693,12,Hardy Z_3 sign walk + Anderson polish (chi6_two_component.py)
5,20.455770807742,12,Hardy Z_3 sign walk + Anderson polish (chi6_two_component.py)
6,24.059414856493,12,Hardy Z_3 sign walk + Anderson polish (chi6_two_component.py)
7,26.577868735775,12,Hardy Z_3 sign walk + Anderson polish (chi6_two_component.py)
8,28.218164506233,12,Hardy Z_3 sign walk + Anderson polish (chi6_two_component.py)
9,30.745040261382,12,Hardy Z_3 sign walk + Anderson polish (chi6_two_component.py)
10,33.897388927259,12,Hardy Z_3 sign walk + Anderson polish (chi6_two_component.py)
11,35.608412653939,12,Hardy Z_3 sign walk + Anderson polish (chi6_two_component.py)
12,37.551796556365,12,Hardy Z_3 sign walk + Anderson polish (chi6_two_component.py)
13,39.485207260929,12,Hardy Z_3 sign walk + Anderson polish (chi6_two_component.py)
14,42.616379226158,12,Hardy Z_3 sign walk + Anderson polish (chi6_two_component.py)
15,44.120572912072,12,Hardy Z_3 sign walk + Anderson polish (chi6_two_component.py)
16,46.274118023513,12,Hardy Z_3 sign walk + Anderson polish (chi6_two_component.py)
17,47.514104510117,12,Hardy Z_3 sign walk + Anderson polish (chi6_two_component.py)
18,50.375138650636,12,Hardy Z_3 sign walk + Anderson polish (chi6_two_component.py)
19,52.496749599061,12,Hardy Z_3 sign walk + Anderson polish (chi6_two_component.py)
20,54.193843101552,12,Hardy Z_3 sign walk + Anderson polish (chi6_two_component.py)
21,55.642558700216,12,Hardy Z_3 sign walk + Anderson polish (chi6_two_component.py)
22,57.584056360449,12,Hardy Z_3 sign walk + Anderson polish (chi6_two_component.py)
23,60.026857456716,12,Hardy Z_3 sign walk + Anderson polish (chi6_two_component.py)
24,62.206078122282,12,Hardy Z_3 sign walk + Anderson polish (chi6_two_component.py)
