n,gamma,a1_re,a1_im
1,6.020948904698,1.11969513e-01,7.58934025e-01
2,10.243770304167,8.60735894e-02,1.10734323e+00
3,12.988098012312,1.16390781e-01,1.29160103e+00
4,16.342607104587,-2.31779278e-01,1.38196078e+00
5,18.291993196124,4.19212711e-01,1.50079107e+00
6,21.450611343983,-3.81317132e-01,1.75616779e+00
7,23.278376520460,3.42674471e-01,1.61024508e+00
8,25.728756425089,1.61977889e-01,1.97708288e+00
9,28.359634343025,-9.45646317e-01,1.91119126e+00
10,29.656384014593,1.23381463e+00,2.05330000e+00
11,32.592186527117,-8.05575189e-01,2.25918964e+00
12,34.199957509213,4.37887207e-01,2.15214797e+00
13,36.142880458303,3.15492930e-01,2.37839896e+00
14,38.511923141719,-3.28809356e-01,2.43146755e+00
15,40.322674066691,-4.35525189e-01,2.53995289e+00
16,41.807084620005,1.24893802e+00,2.54140367e+00
17,44.617891058662,-2.33165458e+00,2.75249499e+00
18,45.599584396792,2.01824376e+00,2.71894943e+00
19,47.741562280939,-9.38586692e-02,2.82038522e+00
20,49.723129323783,3.92755515e-02,2.90566115e+00
21,51.686093452871,-1.57546791e+00,3.04047776e+00
22,52.768820767805,2.21183072e+00,3.04728534e+00
23,55.267543584699,-9.50911967e-01,2.98284477e+00
24,56.934374055202,-8.28563791e-01,3.53798617e+00
25,58.116707110674,1.80816211e+00,3.03771042e+00
26,60.421713949008,-9.07362180e-01,3.39357425e+00
27,62.008632285768,2.92740475e-01,3.34151631e+00
28,63.714641118785,-1.00503626e+00,3.71637840e+00
29,64.976170573096,2.16361032e+00,3.35498635e+00
30,67.636920863546,-4.56881854e+00,3.27209520e+00
31,68.365884503834,3.61765323e+00,4.28509088e+00
32,70.185879908802,5.06565136e-01,3.45117235e+00
33,72.155484974382,-6.75580049e-01,3.86986726e+00
34,73.767635521486,-3.96235789e-01,3.85942233e+00
35,75.143121647433,3.45380095e-01,4.10787867e+00
36,76.696303203430,1.16717681e+00,3.88211318e+00
37,78.809998314321,-1.59677977e+00,3.68981458e+00
38,80.210131238367,-1.27493706e+00,5.10848417e+00
39,81.213951626883,3.38061841e+00,3.52665994e+00
40,83.666656014471,-3.06711588e+00,4.15039234e+00
41,84.731740363782,2.18044421e+00,4.50207937e+00
42,86.577660168390,-2.13912747e+00,4.39305630e+00
43,87.629718119588,2.95527640e+00,4.47249986e+00
44,89.801131616696,-1.33870130e+00,3.98716192e+00
45,91.349703814698,-2.57205643e+00,5.28517312e+00
46,92.237499910454,3.64374995e+00,4.47276292e+00
47,94.166619585960,4.06481535e-02,4.19416829e+00
48,96.136011161781,-3.98210893e+00,5.08724652e+00
49,96.961741579417,3.64114556e+00,4.74836030e+00
50,98.755300415755,-7.94047579e-01,4.84229167e+00
51,100.134886703068,1.54399702e+00,4.79325135e+00
52,102.141380826890,-2.69955102e+00,4.24813540e+00
53,103.288075381679,-4.99590267e-01,6.63799805e+00
54,104.333269844267,3.95990767e+00,4.07931186e+00
55,106.694458908896,-4.04940900e+00,4.61322045e+00
56,107.690206975147,2.22360516e+00,5.91563158e+00
57,109.259942973928,-7.38489683e-01,5.09223138e+00
58,110.499608176429,1.87539073e+00,5.25459100e+00
59,112.367816744012,-1.03061129e+00,5.07044790e+00
60,113.814795548993,-8.31292981e-01,5.23669432e+00
61,115.142369647649,-1.05072276e+00,6.61186568e+00
62,116.193204658461,4.06188237e+00,4.58064960e+00
63,118.537554378847,-5.13794700e+00,4.56230990e+00
64,119.452989876209,2.10145249e+00,7.31770639e+00
65,120.731293618660,1.84932041e+00,4.91226716e+00
66,122.447461379069,-1.03681931e+00,5.83114069e+00
67,123.794548760320,1.40596733e+00,5.46149833e+00
68,125.768519559916,-8.66326455e+00,5.01611806e+00
69,126.298776024941,7.79084139e+00,7.50572017e+00
70,127.959407683063,1.52816075e+00,5.08262794e+00
71,129.885623358645,-3.02854463e+00,5.35361556e+00
72,131.093578754084,-8.03799850e-01,7.28932739e+00
73,132.143576600988,2.85329853e+00,5.76898938e+00
74,133.744181463975,4.29163451e-01,5.58791153e+00
75,135.490837252557,-2.68194989e+00,6.48164120e+00
76,136.547312267283,2.30979200e+00,5.73568147e+00
77,138.457294509696,-1.83720078e+01,9.45057941e+00
78,138.750177704611,2.04251227e+01,3.61403240e+00
79,141.253632509752,-4.27945856e+00,4.82429905e+00
80,142.394417522198,-1.64302064e+00,8.68391412e+00
81,143.329062741618,4.22220482e+00,5.86722723e+00
82,144.978166277711,-7.82727655e-02,5.98207868e+00
83,146.522005284908,-7.58971467e-01,6.58926286e+00
84,147.934530812181,-8.52017214e-01,6.45249142e+00
85,149.188457717303,-8.96204929e-01,7.27841429e+00
86,150.296359001543,3.08281550e+00,6.70017533e+00
87,151.961987670484,1.21466511e-01,5.88755150e+00
88,153.699612623515,-5.45858722e+00,6.11961968e+00
89,154.575491428720,2.00244918e+00,9.52728490e+00
90,155.650248663243,4.66301953e+00,5.23229108e+00
91,157.748305307903,-5.11426147e+00,6.27208075e+00
92,158.705021125529,2.98886282e+00,7.94367858e+00
93,160.236484096771,-1.61761803e+00,6.27613360e+00
94,161.407146976157,1.03856023e-01,8.55109114e+00
95,162.566046689599,3.97116354e+00,5.97959450e+00
96,164.731164616577,-8.83078877e+00,5.23798736e+00
97,165.401419285863,4.97923787e+00,9.92074369e+00
98,166.753879169108,1.22482258e+00,7.28006799e+00
99,168.044420781710,2.35770100e+00,6.25770285e+00
100,170.051131187527,-8.44073529e+00,6.78065562e+00
101,170.734766994579,6.35624993e+00,8.67814411e+00
