n,gamma,K,sigma_K,gamma_K,status
0,6.020948904698,256,0.500429221,6.023911533,ok
0,6.020948904698,181,0.500602485,6.025138135,ok
0,6.020948904698,128,0.500843044,6.026870926,ok
0,6.020948904698,91,0.501169146,6.029275788,ok
0,6.020948904698,64,0.501629890,6.032784103,ok
0,6.020948904698,45,0.502258368,6.037776626,ok
0,6.020948904698,32,0.503076892,6.044616695,ok
0,6.020948904698,21,0.504485993,6.057080009,ok
0,6.020948904698,16,0.505750494,6.068527137,ok
0,6.020948904698,11,0.508398111,6.090849198,ok
0,6.020948904698,8,0.512643726,6.118663585,ok
0,6.020948904698,6,0.520743942,6.154166200,ok
0,6.020948904698,4,0.551794169,6.226878988,ok
0,6.020948904698,3,0.606299844,6.292347252,ok
0,6.020948904698,2,0.765181839,6.359142113,ok
1,10.243770304167,256,0.500317925,10.248089860,ok
1,10.243770304167,181,0.500439200,10.249876929,ok
1,10.243770304167,128,0.500600507,10.252400866,ok
1,10.243770304167,91,0.500805473,10.255903801,ok
1,10.243770304167,64,0.501066619,10.261017985,ok
1,10.243770304167,45,0.501365219,10.268315025,ok
1,10.243770304167,32,0.501647350,10.278379946,ok
1,10.243770304167,21,0.501851595,10.297071483,ok
2,12.988098012312,256,0.500430112,12.993142555,ok
2,12.988098012312,181,0.500594694,12.995233469,ok
2,12.988098012312,128,0.500814693,12.998190808,ok
2,12.988098012312,91,0.501097411,13.002304236,ok
2,12.988098012312,64,0.501467579,13.008330599,ok
2,12.988098012312,45,0.501922127,13.016978592,ok
2,12.988098012312,32,0.502447440,13.029020979,ok
2,12.988098012312,21,0.503341801,13.051829724,ok
3,16.342607104587,256,0.499059162,16.347987359,ok
3,16.342607104587,181,0.498648455,16.350208707,ok
3,16.342607104587,128,0.498046947,16.353343734,ok
3,16.342607104587,91,0.497170315,16.357694454,ok
3,16.342607104587,64,0.495802423,16.364057925,ok
3,16.342607104587,45,0.493667164,16.373198630,ok
3,16.342607104587,32,0.490362814,16.386035203,ok
3,16.342607104587,21,0.483171487,16.411221368,ok
4,18.291993196124,256,0.501596756,18.297871068,ok
4,18.291993196124,181,0.502236513,18.300318281,ok
4,18.291993196124,128,0.503121620,18.303792394,ok
4,18.291993196124,91,0.504318357,18.308653168,ok
4,18.291993196124,64,0.506011750,18.315845540,ok
4,18.291993196124,45,0.508355618,18.326349714,ok
4,18.291993196124,32,0.511569748,18.341443073,ok
4,18.291993196124,21,0.518344538,18.372114654,ok
5,21.450611343983,256,0.498453358,21.457442744,ok
5,21.450611343983,181,0.497778169,21.460261449,ok
5,21.450611343983,128,0.496788209,21.464239983,ok
5,21.450611343983,91,0.495341282,21.469766174,ok
5,21.450611343983,64,0.493068253,21.477871711,ok
5,21.450611343983,45,0.489467448,21.489603806,ok
5,21.450611343983,32,0.483730381,21.506400157,ok
5,21.450611343983,21,0.470524944,21.541552614,ok
6,23.278376520460,256,0.501279687,23.284686140,ok
6,23.278376520460,181,0.501778240,23.287317892,ok
6,23.278376520460,128,0.502454932,23.291063081,ok
6,23.278376520460,91,0.503346575,23.296328815,ok
6,23.278376520460,64,0.504566163,23.304199722,ok
6,23.278376520460,45,0.506192050,23.315943900,ok
6,23.278376520460,32,0.508414662,23.333591597,ok
6,23.278376520460,21,0.514635722,23.373865080,ok
7,25.728756425089,256,0.500561080,25.736483567,ok
7,25.728756425089,181,0.500753117,25.739694503,ok
7,25.728756425089,128,0.500985976,25.744251280,ok
7,25.728756425089,91,0.501237151,25.750632498,ok
7,25.728756425089,64,0.501460169,25.760114522,ok
7,25.728756425089,45,0.501504378,25.774143320,ok
7,25.728756425089,32,0.501142652,25.795020898,ok
7,25.728756425089,21,0.501281582,25.842737584,ok
8,28.359634343025,256,0.496214709,28.367023430,ok
8,28.359634343025,181,0.494588644,28.370051760,ok
8,28.359634343025,128,0.492226457,28.374314262,ok
8,28.359634343025,91,0.488808646,28.380227054,ok
8,28.359634343025,73,0.485750288,28.385296210,ok
8,28.359634343025,64,0.483486032,28.388931892,ok
8,28.359634343025,51,0.478534185,28.396589676,ok
8,28.359634343025,45,0.475058162,28.401766973,ok
8,28.359634343025,37,0.468117697,28.411754424,ok
8,28.359634343025,32,0.461325405,28.421270465,ok
8,28.359634343025,26,0.447965611,28.440138325,ok
8,28.359634343025,21,0.428033076,28.472560983,ok
8,28.359634343025,19,0.416858731,28.496750552,ok
8,28.359634343025,13,0.436087934,28.708102570,ok
8,28.359634343025,10,0.819914075,28.664317699,ok
9,29.656384014593,256,0.504734234,29.664503990,ok
9,29.656384014593,181,0.506655000,29.667936186,ok
9,29.656384014593,128,0.509341428,29.672868883,ok
9,29.656384014593,91,0.513039289,29.679905660,ok
9,29.656384014593,64,0.518439926,29.690664455,ok
9,29.656384014593,45,0.526384662,29.707333278,ok
9,29.656384014593,32,0.538819974,29.734081137,ok
9,29.656384014593,21,0.580051948,29.802980629,ok
10,32.592186527117,256,0.496744813,32.600946256,ok
10,32.592186527117,181,0.495327345,32.604550939,ok
10,32.592186527117,128,0.493247173,32.609639093,ok
10,32.592186527117,91,0.490192288,32.616725300,ok
10,32.592186527117,64,0.485325046,32.627219703,ok
10,32.592186527117,45,0.477333633,32.642856207,ok
10,32.592186527117,32,0.463584372,32.667257154,ok
10,32.592186527117,21,0.431299036,32.738900298,ok
11,34.199957509213,256,0.501586780,34.208410661,ok
11,34.199957509213,181,0.502176139,34.211958870,ok
11,34.199957509213,128,0.502946098,34.217046344,ok
11,34.199957509213,91,0.503899844,34.224304248,ok
11,34.199957509213,64,0.505068692,34.235481037,ok
11,34.199957509213,45,0.506340490,34.253268702,ok
11,34.199957509213,32,0.507940513,34.284155410,ok
11,34.199957509213,21,0.533515655,34.384886810,ok
12,36.142880458303,256,0.501114192,36.152206732,ok
12,36.142880458303,181,0.501512524,36.156108774,ok
12,36.142880458303,128,0.502019755,36.161686029,ok
12,36.142880458303,91,0.502627974,36.169600009,ok
12,36.142880458303,64,0.503352403,36.181672995,ok
12,36.142880458303,45,0.504202459,36.200583736,ok
12,36.142880458303,32,0.506172004,36.232679910,ok
12,36.142880458303,21,0.546314792,36.328452229,ok
13,38.511923141719,256,0.498575721,38.521393490,ok
13,38.511923141719,181,0.497898697,38.525322350,ok
13,38.511923141719,128,0.496846360,38.530909939,ok
13,38.511923141719,91,0.495179690,38.538793413,ok
13,38.511923141719,64,0.492242160,38.550757226,ok
13,38.511923141719,45,0.486730555,38.569522574,ok
13,38.511923141719,32,0.475925960,38.602642080,ok
13,38.511923141719,21,0.478744945,38.727640391,ok
14,40.322674066691,256,0.498116272,40.332572845,ok
14,40.322674066691,181,0.497227644,40.336691245,ok
14,40.322674066691,128,0.495859393,40.342572729,ok
14,40.322674066691,91,0.493727230,40.350943151,ok
