n,gamma
1,6.020948904698
2,10.243770304167
3,12.988098012312
4,16.342607104587
5,18.291993196124
6,21.450611343983
7,23.278376520460
8,25.728756425089
9,28.359634343025
10,29.656384014593
11,32.592186527117
12,34.199957509213
13,36.142880458303
14,38.511923141719
15,40.322674066691
16,41.807084620005
17,44.617891058662
18,45.599584396792
19,47.741562280939
20,49.723129323783
21,51.686093452871
22,52.768820767805
23,55.267543584699
24,56.934374055202
25,58.116707110674
26,60.421713949008
27,62.008632285768
28,63.714641118785
29,64.976170573096
30,67.636920863546
31,68.365884503834
32,70.185879908802
33,72.155484974382
34,73.767635521486
35,75.143121647433
36,76.696303203430
37,78.809998314321
38,80.210131238367
39,81.213951626883
40,83.666656014471
41,84.731740363782
42,86.577660168390
43,87.629718119588
44,89.801131616696
45,91.349703814698
46,92.237499910454
47,94.166619585960
48,96.136011161781
49,96.961741579417
50,98.755300415755
51,100.134886703068
52,102.141380826890
53,103.288075381679
54,104.333269844267
55,106.694458908896
56,107.690206975147
57,109.259942973928
58,110.499608176429
59,112.367816744012
60,113.814795548993
61,115.142369647649
62,116.193204658461
63,118.537554378847
64,119.452989876209
65,120.731293618660
66,122.447461379069
67,123.794548760320
68,125.768519559916
69,126.298776024941
70,127.959407683063
71,129.885623358645
72,131.093578754084
73,132.143576600988
74,133.744181463975
75,135.490837252557
76,136.547312267283
77,138.457294509696
78,138.750177704611
79,141.253632509752
80,142.394417522198
81,143.329062741618
82,144.978166277711
83,146.522005284908
84,147.934530812181
85,149.188457717303
86,150.296359001543
87,151.961987670484
88,153.699612623515
89,154.575491428720
90,155.650248663243
91,157.748305307903
92,158.705021125529
93,160.236484096771
94,161.407146976157
95,162.566046689599
96,164.731164616577
97,165.401419285863
98,166.753879169108
99,168.044420781710
100,170.051131187527
101,170.734766994579
102,172.280481771621
103,173.442978836135
104,174.915088085401
105,176.597302141918
106,177.701212574574
107,178.362374908986
108,180.569310385286
109,181.614913731704
110,182.916768328969
111,184.115032375368
112,185.373996607700
113,187.068760590694
114,188.271374332271
115,189.491731492129
116,190.371187610756
117,192.361137876056
118,193.797072926147
119,194.231883229361
120,196.132005654684
121,197.113446221576
122,198.806475736147
123,200.162039428699
124,200.901617870769
125,202.260577995932
126,204.221070780158
127,204.992003455098
128,206.411911047611
129,207.317377481888
130,209.227752492648
131,210.103185517399
132,211.833411820424
133,212.537607537213
134,213.761842101278
135,215.793818382016
136,216.703415266203
137,217.581931418038
138,219.172670566944
139,220.405621710637
140,221.928548507254
141,223.003103180629
142,224.122238487947
143,225.293261475205
144,226.988188488375
145,228.405506297436
146,228.959023632675
147,230.330130577805
148,232.100481747069
149,233.048063745299
150,234.351787701833
151,235.836218771141
152,236.241560494476
153,238.537113049983
154,239.338488135620
155,240.626711169393
156,241.477920928211
157,243.228931179739
158,244.513168583588
159,245.564881380114
160,246.724058534725
161,247.995118582738
162,249.184508964885
163,251.086563150456
164,251.636915839614
165,252.623445779668
166,254.314437350123
167,255.837918049742
168,256.504584947348
169,258.165262850351
170,258.834470523525
171,260.430472134926
172,261.913614987650
173,262.883617342461
174,264.054257888128
175,264.932859141220
176,267.000651199715
177,267.801446984602
178,268.783306062048
179,270.278087167482
180,271.254983694449
181,272.755878601693
182,274.171458312519
183,275.033101236580
184,275.858946011083
185,277.772322638319
186,278.803683887287
187,280.157144870975
188,280.793106949409
189,282.379640463561
190,283.604543433883
191,284.925595823417
192,286.080233307717
193,287.149424648242
194,287.978476263321
195,290.252146995175
196,290.677296323261
197,291.832024588845
198,293.202434177473
199,294.327268451460
200,295.803470824719
201,296.900666138855
202,298.078874114892
203,298.870320307078
204,300.434459850535
205,301.919842528597
206,302.917937583117
207,303.661118040334
208,305.065208865419
209,306.795133963712
210,307.286084936715
211,309.122483030422
212,309.739907613975
213,310.823674960945
214,312.556366867561
215,313.877942455068
216,314.433165169289
217,315.734986124927
218,317.012318042233
219,318.456217256355
220,319.579691297035
221,320.406303644493
222,322.001967804490
223,322.539117423792
224,324.518444673724
225,325.474784044106
226,326.458541219865
227,327.259931766512
228,329.200097937579
229,330.036049590346
230,331.211402899582
231,332.572946528233
232,333.181508328694
233,334.768699894679
234,336.152717554433
235,337.139663054777
236,338.226282686037
237,339.011252615200
238,340.841952352353
239,342.026153183365
240,342.685858237359
241,344.083666156569
242,345.209775341346
243,346.262760467102
244,347.924648114363
245,348.981798388547
246,349.434342456600
247,350.977213109309
248,352.391768243125
249,353.693333325683
250,354.301737741464
251,355.744440262597
252,356.627647213767
253,358.288275092942
254,359.096461192606
255,360.711041024559
256,361.197493036209
257,362.276968893167
258,364.419724431835
259,364.803736092112
260,366.049689518269
261,367.125534935075
262,368.433814889808
263,369.501693331896
264,371.069016090565
265,371.770095915150
266,372.884860886591
267,373.934868915462
268,375.546874727008
269,376.683900937975
270,377.559223274185
271,378.386929045762
272,380.057073182314
273,381.048670123035
274,382.239766419016
275,383.485092354203
276,384.372845681681
277,385.215227671810
278,387.149209287631
279,388.082142477715
280,388.777717961853
281,390.169112628897
282,391.081925719961
283,392.851762913362
284,393.443407711011
285,394.819997091794
286,395.804609603418
287,396.734455422549
288,398.250415976738
289,399.565510922143
290,400.692875768712
291,400.826430942255
292,402.818318458900
293,403.907405043484
294,404.945586220612
295,406.161247797888
296,407.145015561887
297,408.039526672954
298,409.588213120836
299,410.871662863483
300,411.660571450853
301,412.731146957583
302,413.669285395296
303,415.429295872921
304,416.370591226616
305,417.129270213613
306,418.557476726828
307,419.487459422307
308,420.528953897983
309,422.510373029580
310,422.687254605134
311,424.066895492738
312,424.823388820005
313,426.732417008649
314,427.384017811342
315,428.698107954067
316,429.589385972485
317,430.617557835896
318,432.060772515970
319,433.037443119578
320,434.439352398953
321,435.348154160343
322,435.904163677450
323,437.582219399193
324,439.158108255197
325,439.537569445176
326,440.677227899854
327,442.169739917182
328,442.777044291222
329,444.438290507889
330,445.463739168413
331,446.448331621937
332,447.302008904811
333,448.506931088658
334,450.056620306917
335,451.070775905425
336,451.839972460977
337,452.879869538279
338,454.253514329354
339,455.422497421379
340,456.392498176649
341,457.782550501735
342,458.602132213340
343,459.232883374029
344,461.229860089685
345,462.093262103951
346,462.984574325850
347,464.074350134387
348,465.084496147604
349,466.565294070755
350,467.469878437025
351,468.852763450972
352,469.410153424018
353,470.850118898187
354,471.558488620326
355,473.449639415461
356,474.251661331198
357,474.862403416340
358,476.106908836422
359,477.524504888667
360,478.585174878090
361,479.563790858924
362,480.853431155415
363,481.635725155084
364,482.560089556220
365,484.373451762986
366,485.024407684857
367,486.433852215022
368,486.860821172527
369,488.201746375389
370,489.727584131497
371,490.725911864197
372,491.381656786790
373,493.008423782597
374,493.482083562986
375,494.840881854819
376,496.264596172215
377,497.514650230783
378,497.764550541258
379,499.021411746317
380,500.597773931526
381,501.470600996472
382,502.775458195536
383,503.466430549622
384,504.654124961431
385,505.739139439563
386,506.940053081678
387,508.298673685162
388,509.017744547113
389,510.163388567594
390,510.789757306407
391,512.829907982420
392,513.523603253455
393,514.223717529729
394,515.800889499231
395,516.411584547120
396,517.735975415498
397,519.016986672415
398,520.167292715260
399,520.872667783021
400,521.841481363615
401,523.120986253099
402,524.602934326172
403,525.360948828423
404,526.404135942231
405,527.200666147476
406,528.755645244318
407,529.579467899654
408,530.842335853778
409,532.055495939794
410,532.815358474646
411,533.508383228707
412,535.330957786315
413,536.335200439569
414,537.227107044987
415,538.026826770333
416,539.450819996046
417,540.220384197939
418,541.907599138114
419,542.462563061115
420,543.696092760349
421,544.785461264318
422,545.383442847240
423,547.187258082853
424,548.217679158056
425,548.943532318786
426,549.822639673721
