q,label,parity,gamma,abs_Lp,abs_B,abs_a1
3,chi_3#1,1,8.039737155681,1.1671561,0.76744457,0.80498855
3,chi_3#1,1,11.249206207773,1.6406925,1.0416241,1.0864901
3,chi_3#1,1,15.704619176722,2.0007411,1.0966303,1.3089055
3,chi_3#1,1,18.261997495693,1.6183452,0.64874948,1.1130338
3,chi_3#1,1,20.455770807742,2.2080315,1.074464,1.5132952
3,chi_3#1,1,24.059414856493,2.8316089,1.2350929,1.5952792
3,chi_3#1,1,26.577868735775,1.7871172,0.69385574,1.5685727
3,chi_3#1,1,28.218164506233,1.9077733,0.76724064,1.7250166
3,chi_3#1,1,30.745040261382,3.4074925,1.2940977,1.7748275
3,chi_3#1,1,33.897388927259,2.6581453,1.0824423,2.0981234
3,chi_3#1,1,35.608412653939,1.9916989,0.69896759,1.8994169
3,chi_3#1,1,37.551796556365,2.3060042,0.82664568,2.0460678
3,chi_3#1,1,39.485207260929,3.4738251,1.2496469,2.1589378
3,chi_3#1,1,42.616379226158,2.9584649,1.1566401,2.5323851
3,chi_3#1,1,44.120572912072,2.2806493,0.80611211,2.3702682
3,chi_3#1,1,46.274118023513,2.0142491,0.75225795,2.6266888
3,chi_3#1,1,47.514104510117,2.5372933,1.0430367,2.9687048
4,chi_4#1,1,6.020948904698,1.3093182,0.82042249,0.76714929
4,chi_4#1,1,10.243770304167,1.8129231,0.96886414,1.1106834
4,chi_4#1,1,12.988098012312,2.1180933,1.0428751,1.2968346
4,chi_4#1,1,16.342607104587,2.1100692,0.89240402,1.4012627
4,chi_4#1,1,18.291993196124,2.2754312,0.95619112,1.5582404
4,chi_4#1,1,21.450611343983,2.4620454,1.0176015,1.7970888
4,chi_4#1,1,23.278376520460,2.3789189,0.83005415,1.6463034
4,chi_4#1,1,25.728756425089,3.1346687,1.1924444,1.983707
4,chi_4#1,1,28.359634343025,2.1981902,0.81550113,2.1323459
4,chi_4#1,1,29.656384014593,2.3605191,0.94078518,2.3954831
4,chi_4#1,1,32.592186527117,2.9646531,1.0765198,2.3985181
4,chi_4#1,1,34.199957509213,2.5545515,0.80945545,2.1962436
4,chi_4#1,1,36.142880458303,3.3443197,1.0954324,2.3992327
4,chi_4#1,1,38.511923141719,3.2998749,1.0373829,2.4535994
4,chi_4#1,1,40.322674066691,2.5980395,0.81931506,2.5770221
4,chi_4#1,1,41.807084620005,3.248247,1.0856418,2.8317095
4,chi_4#1,1,44.617891058662,2.3974648,0.95647089,3.6073317
4,chi_4#1,1,45.599584396792,2.2131135,0.81094668,3.3861473
4,chi_4#1,1,47.741562280939,3.8462293,1.121846,2.8219465
4,chi_4#1,1,49.723129323783,3.7500127,1.0814507,2.9059266
5,chi_5#2,0,6.648453344728,1.6345008,0.84134387,0.8693086
5,chi_5#2,0,9.831444432887,1.6019591,0.80207992,1.2484891
5,chi_5#2,0,11.958845626084,2.2395433,1.0453657,1.4151992
5,chi_5#2,0,16.033821128384,2.0675685,0.92274996,1.8134788
5,chi_5#2,0,17.566994292326,1.5991475,0.58972742,1.641634
5,chi_5#2,0,19.540732622785,2.49603,0.96194917,1.9082073
5,chi_5#2,0,22.227405454459,3.6734731,1.2960982,1.9870094
5,chi_5#2,0,24.588466217408,3.3090978,1.052332,1.9810921
5,chi_5#2,0,26.776095948004,2.3522492,0.87086318,2.5114806
5,chi_5#2,0,28.461035100178,1.8030103,0.57369486,2.2942498
5,chi_5#2,0,29.707909350481,2.6964792,1.0464822,2.9208457
5,chi_5#2,0,33.000456006871,3.9340204,1.3141728,2.7927105
5,chi_5#2,0,34.728812978905,1.9812701,0.60064478,2.6671609
5,chi_5#2,0,35.868638371812,2.1397163,0.80861473,3.4338617
5,chi_5#2,0,38.129184721437,3.0867058,0.90010633,2.8166553
5,chi_5#2,0,39.560572946403,3.6207318,1.0892732,3.0149351
5,chi_5#2,0,41.842438545792,5.0351158,1.3679952,2.8798068
5,chi_5#2,0,44.031290061442,2.8876924,0.87945901,3.3969905
5,chi_5#2,0,45.427300082782,1.7283438,0.5938974,3.9542559
5,chi_5#2,0,46.492727159491,2.145886,0.67449073,3.7018578
5,chi_5#2,0,48.345661821068,5.1272911,1.3811437,3.2989208
7,chi_7#3,1,4.475738283729,1.2127519,0.69137863,0.91047949
7,chi_7#3,1,6.845491712491,1.9154609,0.87233109,1.1085018
7,chi_7#3,1,11.160184543120,1.8905257,0.78997872,1.6554189
7,chi_7#3,1,12.489603343033,1.6933877,0.71646046,1.8754285
7,chi_7#3,1,15.112882258744,2.4159788,0.84593594,1.8775759
7,chi_7#3,1,16.802876475729,3.0490343,1.0731064,2.0980923
7,chi_7#3,1,19.611878056690,4.0650398,1.3153104,2.2510856
7,chi_7#3,1,21.899913703318,2.0566335,0.76575787,2.8924005
7,chi_7#3,1,23.162971799737,1.6031699,0.55299463,2.8340343
7,chi_7#3,1,24.498847555356,2.7782789,0.94756373,2.9637187
7,chi_7#3,1,27.361477519001,4.754833,1.3580316,2.7717558
7,chi_7#3,1,29.178879666363,3.1883612,0.93852212,3.046335
7,chi_7#3,1,30.721899644548,2.8426249,0.82437679,3.1599489
7,chi_7#3,1,32.475887591542,2.8958972,0.88339496,3.513602
7,chi_7#3,1,34.111240783037,2.7005553,0.75486461,3.3816484
7,chi_7#3,1,35.311847458978,3.9871493,1.2140335,3.8132954
7,chi_7#3,1,38.364637336031,3.3982348,1.091416,4.3699173
7,chi_7#3,1,39.482578746662,1.9829809,0.54844539,3.8727859
7,chi_7#3,1,40.710328651654,2.2981883,0.77192598,4.849486
7,chi_7#3,1,42.304857587643,3.5116313,0.84794721,3.6228368
7,chi_7#3,1,43.931854287427,5.2359623,1.342977,3.9962074
7,chi_7#3,1,46.194327427406,4.1012775,1.116501,4.4598716
7,chi_7#3,1,47.298585340277,3.614723,0.99111402,4.5992743
7,chi_7#3,1,49.235894262416,3.7044163,0.93675217,4.4154752
8,chi_8#1,0,4.899973997007,1.7220094,0.83143614,0.96382181
8,chi_8#1,0,7.628428841769,2.3526722,0.98102338,1.2919454
8,chi_8#1,0,10.806588163862,2.139174,0.85059695,1.7433754
8,chi_8#1,0,12.310542994237,2.3058298,0.90370695,1.9570222
8,chi_8#1,0,15.195754250645,3.0714152,1.0348957,2.0762303
8,chi_8#1,0,17.022285974308,2.6214845,0.85951795,2.2629401
8,chi_8#1,0,18.805958907707,3.2373502,1.0447659,2.4605855
8,chi_8#1,0,21.131645962221,3.6125021,1.0963615,2.5999248
8,chi_8#1,0,23.083849996201,2.3807923,0.7695182,3.0245984
8,chi_8#1,0,24.201963557816,2.8065348,0.93708113,3.2757464
8,chi_8#1,0,26.958535180380,3.0708555,0.97923304,3.4846399
8,chi_8#1,0,28.097444960631,2.6471739,0.79126554,3.404361
8,chi_8#1,0,29.930764210152,3.6844109,1.01977,3.3579391
8,chi_8#1,0,31.638139491321,4.3368659,1.1357871,3.3585078
8,chi_8#1,0,33.845630895158,2.5693371,0.84156906,4.4934396
8,chi_8#1,0,34.745777006170,2.4299495,0.7651404,4.4345659
8,chi_8#1,0,36.541663851775,4.716138,1.1913551,3.7414843
8,chi_8#1,0,38.775577773870,3.1427936,0.9640679,4.8211027
8,chi_8#1,0,39.786880997667,2.6709349,0.75900391,4.5826337
8,chi_8#1,0,41.342206164422,4.1583587,1.0851955,4.3729215
8,chi_8#1,0,43.227484864148,4.5530973,1.060295,4.0800834
8,chi_8#1,0,44.731727516846,4.0547788,1.0411753,4.6554295
8,chi_8#1,0,46.539401827178,2.0154198,0.75388118,7.0557548
8,chi_8#1,0,47.133310109318,2.2747504,0.90408623,7.5925686
8,chi_8#1,0,49.729032993755,3.9289121,1.0712242,5.4954124
11,chi_11#5,1,2.477243711229,1.4129187,0.72475901,0.72240192
11,chi_11#5,1,6.800708408387,2.476188,0.93776233,1.4391196
11,chi_11#5,1,8.971284368499,1.422486,0.61918123,2.1795197
11,chi_11#5,1,10.108337357393,1.7954241,0.70348909,2.2098542
11,chi_11#5,1,13.040115328817,4.2207581,1.2736452,2.1944282
11,chi_11#5,1,15.109158246690,3.5966908,1.1045302,2.5871129
11,chi_11#5,1,16.990710701030,3.0250594,0.92542657,2.8978141
11,chi_11#5,1,18.797246536163,2.2852426,0.70499068,3.2326734
11,chi_11#5,1,20.067593328646,2.4432779,0.78339581,3.5867521
11,chi_11#5,1,21.638177818277,4.7858857,1.2933941,3.2596284
11,chi_11#5,1,24.672836861096,2.9971599,0.93970575,4.311746
11,chi_11#5,1,25.685962435417,1.7575773,0.58536732,4.768207
11,chi_11#5,1,26.786895684122,2.4110853,0.74811334,4.632504
11,chi_11#5,1,28.832343001278,3.3606848,0.93960644,4.4928961
11,chi_11#5,1,29.974691172541,3.9452602,1.0167368,4.305375
11,chi_11#5,1,32.109917240815,5.2799618,1.2747509,4.3206524
11,chi_11#5,1,33.522802645333,4.8378449,1.1341436,4.379935
11,chi_11#5,1,35.485085187617,3.1278156,0.79023325,4.9965019
11,chi_11#5,1,36.653476294470,1.9540141,0.64738081,6.7678487
11,chi_11#5,1,37.667962770380,2.2818313,0.64393248,5.9242057
11,chi_11#5,1,38.954261384329,5.0037248,1.2180311,5.2846794
11,chi_11#5,1,41.493156447230,5.5488573,1.3118996,5.467238
11,chi_11#5,1,42.639415076307,3.789197,0.90422597,5.6706629
11,chi_11#5,1,44.228662287554,2.42969,0.74913043,7.599781
11,chi_11#5,1,45.034430415449,2.5839716,0.72685566,7.0598393
11,chi_11#5,1,46.799823032880,4.4219567,1.0232615,6.0353728
11,chi_11#5,1,48.357696260023,2.5656008,0.81820859,8.5946207
11,chi_11#5,1,48.968488109364,3.1531181,1.0604726,9.1782836
12,chi_12#3,0,3.804627633051,1.9390494,0.86241335,1.0375489
12,chi_12#3,0,6.692223320500,2.5284557,0.94717664,1.528292
12,chi_12#3,0,8.890592958727,2.8475031,0.9928221,1.8874488
12,chi_12#3,0,11.188392745075,2.9750033,0.99315597,2.2729111
12,chi_12#3,0,12.966178808029,3.2139515,1.0154034,2.4922149
12,chi_12#3,0,15.181480875888,3.1294982,0.95869165,2.8288199
12,chi_12#3,0,16.632633274524,3.3163467,0.96504305,2.9437127
