idx,sigma,gamma
0,0.338225885,8.263532249
1,0.038006062,11.235751321
2,0.083906329,15.678159889
3,0.521021273,18.194012202
4,0.139999183,20.599810888
5,0.143725996,23.952135235
6,0.436172444,26.623355277
7,0.339999685,28.177140393
8,0.184898716,30.880646309
9,0.201600651,33.645414006
10,0.500521706,35.905349950
11,0.317543848,37.270071151
12,0.222935602,39.791827388
13,0.228534071,42.219590425
14,0.379485375,44.614573424
15,0.465287251,45.734285828
16,0.242040270,47.936299178
17,0.250587249,50.192162051
18,0.264151190,52.517329879
19,0.525262804,54.197292565
20,0.339110075,55.606074946
21,0.250685741,57.723796961
22,0.253461348,59.950655437
23,0.342629237,61.974966676
24,0.502317169,63.583796418
25,0.330792277,64.873056228
26,0.255968233,67.075592186
27,0.262212252,69.071542324
28,0.376441231,71.161745651
29,0.443860813,72.492439774
30,0.395523024,73.940219892
31,0.252875734,75.905354833
32,0.270284314,77.886448432
33,0.345555323,79.926642070
34,0.463738782,81.271847743
35,0.407405753,82.707455759
36,0.294009018,84.400703516
37,0.263093337,86.418954564
38,0.295725257,88.310826306
39,0.511327861,89.999828965
40,0.359353488,91.157288626
41,0.379809249,92.752849057
42,0.266002681,94.630158298
43,0.257020425,96.510449092
44,0.464701972,98.325744802
45,0.355204081,99.657924693
46,0.472541804,100.876828486
47,0.274142031,102.691003365
48,0.280091319,104.470258473
49,0.347901223,106.336798588
50,0.346158809,107.942459428
51,0.564121288,109.114850455
52,0.301222911,110.518333763
53,0.296573642,112.329124327
54,0.325480387,114.078330495
55,0.273127528,115.838862317
56,0.554144692,117.392510884
57,0.382297366,118.427416027
58,0.338907237,119.946137112
