idx,sigma,gamma,kind
0,0.339737508,8.913724351,main
1,-2.869251651,15.211026295,conductor
2,-0.063780068,18.632463234,main
3,0.124803484,26.773027790,main
4,-2.981173927,31.108702393,conductor
5,0.274411988,36.537755726,main
6,-0.449511493,44.820042175,main
7,-2.537651895,46.894012206,conductor
8,0.364273989,54.370822082,main
9,-2.629948338,61.587521456,conductor
10,-0.349611238,63.973982407,main
11,0.250164467,72.207318070,main
12,-2.993532728,77.412587178,conductor
13,0.162699956,81.976854721,main
14,-0.126516490,90.130915980,main
15,-2.821342532,93.299931350,conductor
16,0.349910272,99.828530007,main
17,-2.149998427,108.203319862,conductor
18,-0.849137740,109.072673781,main
19,0.326825442,117.656350142,main
20,-2.908847719,123.725470822,conductor
